t(sec) 1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64
0.000000 4.003680 3.960696 3.922450 4.029674 3.316351 2.528949 2.597709 2.834895 2.914363 2.838949 3.127475 2.824197 3.092921 3.282697 3.387578 3.867786 2.907709 2.875494 3.181025 3.512931 3.712931 3.928695 3.829674 2.951025 3.842162 3.702450 3.847027 3.103478 2.547578 2.987091 2.883680 3.201400 2.991025 3.106686 3.083570 3.475497 3.949718 3.764895 3.861400 2.882450 2.836647 2.762450 3.159369 2.941932 2.915494 2.807578 3.329590 3.475497 3.139468 3.222921 3.092162 2.744068 3.110870 3.112162 2.943570 3.044363 3.239718 3.078676 3.032136 2.972921 2.837578 3.229369 2.965494 3.034068
0.009800 4.001653 3.965432 3.924694 4.034588 3.314926 2.529421 2.597040 2.837294 2.914835 2.839421 3.127947 2.822142 3.091642 3.283169 3.386140 3.882498 2.907040 2.873384 3.182204 3.515207 3.715207 3.928467 3.834588 2.952204 3.842634 3.704694 3.854579 3.102320 2.546140 2.986048 2.881653 3.199912 2.992204 3.109116 3.084042 3.477822 3.947765 3.767294 3.859912 2.884694 2.839063 2.764694 3.157870 2.941705 2.913384 2.806140 3.337196 3.477822 3.139940 3.221642 3.092634 2.744540 3.112551 3.112634 2.944042 3.044835 3.237765 3.079148 3.034431 2.971642 2.836140 3.227870 2.963384 3.034540
0.019600 3.998664 3.966792 3.924877 4.029302 3.311648 2.528259 2.598466 2.836822 2.914363 2.838259 3.127475 2.819125 3.090522 3.281269 3.384961 3.875807 2.908466 2.869622 3.183618 3.514735 3.714735 3.925453 3.829302 2.953618 3.841464 3.704877 3.841623 3.104912 2.544961 2.982993 2.878664 3.197991 2.993618 3.107920 3.082856 3.477350 3.949870 3.766822 3.857991 2.884877 2.837153 2.764877 3.157397 2.940043 2.909622 2.804961 3.333243 3.477350 3.138747 3.220522 3.091464 2.744768 3.108618 3.111464 2.942856 3.044363 3.239870 3.078676 3.033959 2.970522 2.834961 3.227397 2.959622 3.034768
0.029400 3.997073 3.968348 3.929521 4.026102 3.305402 2.527269 2.599408 2.838476 2.914646 2.837269 3.127050 2.816864 3.087741 3.276169 3.382581 3.868554 2.909408 2.866030 3.184556 3.516300 3.716300 3.922545 3.826102 2.954556 3.839786 3.709521 3.837872 3.096523 2.542581 2.985971 2.877073 3.193508 2.994556 3.104080 3.081822 3.478292 3.945364 3.768476 3.853508 2.889521 2.832709 2.769521 3.156279 2.942862 2.906030 2.802581 3.328026 3.478292 3.137008 3.217741 3.089786 2.747693 3.104826 3.109786 2.941822 3.044646 3.235364 3.079642 3.034890 2.967741 2.832581 3.226279 2.956030 3.037693
0.039200 3.997025 3.972677 3.935725 4.021184 3.308701 2.529185 2.601944 2.843144 2.915257 2.839185 3.124230 2.814894 3.083410 3.272057 3.381176 3.863689 2.911944 2.865983 3.186447 3.520050 3.720050 3.918036 3.821184 2.956447 3.839739 3.715725 3.835045 3.092482 2.541176 2.981095 2.877025 3.191399 2.996447 3.097179 3.083806 3.480195 3.941901 3.773144 3.851399 2.895725 2.829953 2.775725 3.150735 2.945350 2.905983 2.801176 3.321804 3.480195 3.136961 3.213410 3.089739 2.749640 3.104109 3.109739 2.943806 3.045257 3.231901 3.081613 3.036762 2.963410 2.831176 3.220735 2.955983 3.039640
0.049000 3.996205 3.974929 3.932856 4.018824 3.305212 2.529553 2.604285 2.844964 2.917075 2.839553 3.121871 2.814067 3.081306 3.271821 3.382978 3.860714 2.914285 2.865747 3.186808 3.520398 3.720398 3.915854 3.818824 2.956808 3.838891 3.712856 3.841306 3.086091 2.542978 2.981311 2.876205 3.190528 2.996808 3.094853 3.083570 3.480559 3.936826 3.774964 3.850528 2.892856 2.824497 2.772856 3.145655 2.947054 2.905747 2.802978 3.314614 3.480559 3.137355 3.211306 3.088891 2.749404 3.101144 3.108891 2.943570 3.047075 3.226826 3.081377 3.036526 2.961306 2.832978 3.215655 2.955747 3.039404
0.058800 3.994483 3.978174 3.937465 4.018465 3.303035 2.532367 2.607084 2.845776 2.917886 2.842367 3.122107 2.812324 3.081019 3.271481 3.383214 3.858227 2.917084 2.865983 3.189041 3.523128 3.723128 3.915546 3.818465 2.959041 3.837080 3.717465 3.827931 3.085752 2.543214 2.986569 2.874483 3.188639 2.999041 3.094504 3.084382 3.483911 3.934340 3.775776 3.848639 2.897465 2.815358 2.777465 3.143753 2.947834 2.905983 2.803214 3.312122 3.483911 3.139704 3.211019 3.087080 2.750206 3.098081 3.107080 2.944382 3.047886 3.224340 3.082186 3.037307 2.961019 2.833214 3.213753 2.955983 3.040206
0.068500 3.994971 3.982627 3.939910 4.015718 3.307810 2.535444 2.609640 2.848435 2.921064 2.845444 3.121569 2.812324 3.079076 3.269338 3.384246 3.855509 2.919640 2.865983 3.189539 3.525616 3.725616 3.914015 3.815718 2.959539 3.837080 3.719910 3.822643 3.082579 2.544246 2.972899 2.874971 3.188639 2.999539 3.090214 3.087044 3.488022 3.930559 3.778435 3.848639 2.899910 2.818619 2.779910 3.142687 2.950343 2.905983 2.804246 3.308333 3.488022 3.139704 3.209076 3.087080 2.753332 3.093196 3.107080 2.947044 3.051064 3.220559 3.084314 3.039330 2.959076 2.834246 3.212687 2.955983 3.043332
0.078300 3.997025 3.985579 3.942380 4.013453 3.300850 2.540642 2.612223 2.851122 2.925940 2.850642 3.119305 2.812791 3.079076 3.269833 3.388594 3.852260 2.922223 2.866461 3.192106 3.528592 3.728592 3.916090 3.813453 2.962106 3.837080 3.722380 3.818773 3.078202 2.548594 2.970148 2.877025 3.189141 3.002106 3.082804 3.089734 3.488971 3.922830 3.781122 3.849141 2.902380 2.813699 2.782380 3.138706 2.953344 2.906461 2.808594 3.303113 3.488971 3.139704 3.209076 3.087080 2.757644 3.090963 3.107080 2.949734 3.055940 3.212830 3.084805 3.039797 2.959076 2.838594 3.208706 2.956461 3.047644
0.088100 3.996966 3.989642 3.944792 4.013875 3.298605 2.545331 2.614748 2.853750 2.928100 2.855331 3.119727 2.815277 3.079017 3.271998 3.388535 3.847663 2.924748 2.868551 3.194614 3.533124 3.733124 3.916472 3.813875 2.964614 3.837021 3.724792 3.820921 3.077213 2.548535 2.967338 2.876966 3.191813 3.004614 3.088567 3.091898 3.493630 3.918711 3.783750 3.851813 2.904792 2.810461 2.784792 3.139488 2.957916 2.908551 2.808535 3.308443 3.493630 3.139645 3.209017 3.087021 2.757585 3.091379 3.107021 2.951898 3.058100 3.208711 3.086955 3.042279 2.959017 2.838535 3.209488 2.958551 3.047585
0.097900 3.996960 3.990841 3.947244 4.015335 3.297338 2.548353 2.617749 2.855585 2.928554 2.858353 3.121635 2.816994 3.077815 3.271150 3.388983 3.846363 2.927749 2.868558 3.196764 3.535221 3.735221 3.917364 3.815335 2.966764 3.837033 3.727244 3.820077 3.071881 2.548983 2.964179 2.876960 3.192802 3.006764 3.082261 3.092355 3.496213 3.919707 3.785585 3.852802 2.907244 2.805077 2.787244 3.131733 2.960854 2.908558 2.808983 3.301125 3.496213 3.139671 3.207815 3.087033 2.758025 3.092370 3.107033 2.952355 3.058554 3.209707 3.086974 3.044814 2.957815 2.838983 3.201733 2.958558 3.048025
