sensor,x(m),y(in),y(m),z(m)
1,41.9992,0,0,8.7857
2,42.0195,0,0,8.8021
3,42.0397,0,0,8.8169
4,42.06,0,0,8.8314
5,42.2893,0,0,8.9449
6,42.5185,0,0,9.0056
7,42.7478,0,0,9.0341
8,42.9771,0,0,9.0432
9,43.2063,0,0,9.0413
10,43.4356,0,0,9.0342
11,43.6649,0,0,9.024
12,43.8941,0,0,9.0088
13,44.1234,0,0,8.9824
14,44.3527,0,0,8.935
15,44.5819,0,0,8.8584
16,44.8112,0,0,8.7575
17,43.4,-4.725,-0.120015,9.0241
18,43.835,-4.725,-0.120015,9.0017
19,44.27,-4.725,-0.120015,8.9421
20,44.705,-4.725,-0.120015,8.7884
21,43.4,4.725,0.120015,9.0241
22,43.835,4.725,0.120015,9.0017
23,44.27,4.725,0.120015,8.9421
24,44.705,4.725,0.120015,8.7884
25,42.0548,-9.45,-0.24003,8.7574
26,42.0774,-9.45,-0.24003,8.7748
27,42.1,-9.45,-0.24003,8.7914
28,42.3842,-9.45,-0.24003,8.924
29,42.6684,-9.45,-0.24003,8.9803
30,42.9526,-9.45,-0.24003,8.9973
31,43.2368,-9.45,-0.24003,8.9952
32,43.521,-9.45,-0.24003,8.9844
33,43.8052,-9.45,-0.24003,8.9679
34,44.0894,-9.45,-0.24003,8.9376
35,44.3736,-9.45,-0.24003,8.8737
36,44.6578,-9.45,-0.24003,8.7562
37,42.0548,9.45,0.24003,8.7574
38,42.0774,9.45,0.24003,8.7748
39,42.1,9.45,0.24003,8.7914
40,42.3842,9.45,0.24003,8.924
41,42.6684,9.45,0.24003,8.9803
42,42.9526,9.45,0.24003,8.9973
43,43.2368,9.45,0.24003,8.9952
44,43.521,9.45,0.24003,8.9844
45,43.8052,9.45,0.24003,8.9679
46,44.0894,9.45,0.24003,8.9376
47,44.3736,9.45,0.24003,8.8737
48,44.6578,9.45,0.24003,8.7562
49,42.3396,-18.89,-0.479806,8.707
50,42.3548,-18.89,-0.479806,8.7151
51,42.37,-18.89,-0.479806,8.7228
52,42.7401,-18.89,-0.479806,8.8219
53,43.1102,-18.89,-0.479806,8.8356
54,43.4804,-18.89,-0.479806,8.8202
55,43.8505,-18.89,-0.479806,8.7898
56,44.2206,-18.89,-0.479806,8.7129
57,42.3396,18.89,0.479806,8.707
58,42.3548,18.89,0.479806,8.7151
59,42.37,18.89,0.479806,8.7228
60,42.7401,18.89,0.479806,8.8219
61,43.1102,18.89,0.479806,8.8356
62,43.4804,18.89,0.479806,8.8202
63,43.8505,18.89,0.479806,8.7898
64,44.2206,18.89,0.479806,8.7129
