Stiffnesses,,,,Coordinates
Interface i,ki1,ki2,ki3,Xi,Yi
1,100000,1000000,15300,-32.5,-8.0
2,1588000,0,15300,-32.5,8.0
3,0,0,10000,-11.5,-16.1
4,0,0,10000,-11.5,16.1
5,0,0,11200,11.5,-16.1
6,0,0,11200,11.5,16.1
7,0,1802000,0,37.5,-8.0
8,0,0,0,37.5,8.0
9,0,0,20300,57.2,0.0

Stiffness Matrix
1.688E+06,0.000E+00,0.000E+00,0.000E+00,0.000E+00,-1.190E+07
0.000E+00,2.802E+06,0.000E+00,0.000E+00,0.000E+00,3.508E+07
0.000E+00,0.000E+00,9.330E+04,-6.003E+00,-1.935E+05,0.000E+00
0.000E+00,0.000E+00,-6.003E+00,1.298E+07,4.637E+00,0.000E+00
0.000E+00,0.000E+00,-1.935E+05,4.637E+00,1.043E+08,0.000E+00
-1.190E+07,3.508E+07,0.000E+00,0.000E+00,0.000E+00,3.698E+09
