Stiffnesses,,,,Coordinates
Interface i,ki1,ki2,ki3,Xi,Yi
1,17510,175130,2690,-825.5,-203.2
2,278020,0,2690,-825.5,203.2
3,0,0,1750,-292.1,-409.5
4,0,0,1750,-292.1,409.5
5,0,0,1970,292.1,-409.5
6,0,0,1970,292.1,409.5
7,0,315660,0,952.5,-203.2
8,0,0,0,952.5,203.2
9,0,0,3550,1451.9,0.0

Stiffness Matrix
2.955E+05,0.000E+00,0.000E+00,0.000E+00,0.000E+00,-5.294E+07
0.000E+00,4.908E+05,0.000E+00,0.000E+00,0.000E+00,1.561E+08
0.000E+00,0.000E+00,1.637E+04,-2.676E+01,-8.416E+05,0.000E+00
0.000E+00,0.000E+00,-2.676E+01,1.470E+09,5.447E+02,0.000E+00
0.000E+00,0.000E+00,-8.416E+05,5.447E+02,1.178E+10,0.000E+00
-5.294E+07,1.561E+08,0.000E+00,0.000E+00,0.000E+00,4.179E+11
